"id","nama_produk","harga_per_unit","processor","ram","ukuran_layar","storage"
1,Acer Nitro 5,10.999.000,Intel Core i5 12500H,8 GB,15 inch,512GB
2,Acer Swift X (SFX14-41G),13.649.000,Ryzen 5 5600U,16 GB,14 inch,512GB
3,Acer Aspire 5 Slim A514-54G,6.548.000,Intel Core i3 1115G4,8 GB,14 inch,512GB
4,Acer Aspire Vero,9.650.000,Intel Core i5 3.2 GHz,8 GB,15.6 inch,512GB
5,Acer Spin 5,13.349.000,Intel Core i3 1115G4,8 GB,14 inch,512GB
6,Acer Aspire Slim 3 A314-36M-36ZH,6.955.000,Intel Core i3 N305 3.80GHz,4 GB,11.6 inch,500GB
7,Acer Spin 1 SP111-33,5.589.000,Intel Celeron 1.80GHz,4 GB,11.6 inch,500GB
8,Acer Nitro 5 AN515-58-78PT,17.199.000,Intel Core i7 12700H,8 GB,15.6 inch,512GB
9,Acer Chromebook 14,4.899.000,Intel Celeron 1.80GHz,4 GB,14 inch,32GB
10,Acer Nitro 5 AN515-58-710Q,20.499.000,Intel Core i7 12650H,16 GB,15.6 inch,512GB
